week,time range,weather,temp,is_holiday,flow of cars
3,2,2,18,0,501
3,2,2,18,0,475
3,2,2,18,0,509
3,2,2,18,0,398
3,2,2,18,0,418
3,2,2,18,0,458
3,2,2,18,0,390
3,2,2,18,0,514
3,2,2,18,0,460
3,2,2,18,0,434
3,2,2,18,0,444
3,2,2,18,0,348
3,2,2,18,0,468
3,2,2,18,0,483
3,2,2,18,0,456
3,2,2,18,0,427
3,2,2,18,0,492
3,2,2,18,0,507
3,2,2,18,0,451
3,2,2,18,0,548
3,2,2,18,0,432
3,2,2,18,0,571
3,2,2,18,0,504
3,2,2,18,0,496
3,2,2,18,0,591
3,2,2,18,0,551
3,2,2,18,0,796
3,2,2,18,0,563
3,2,2,18,0,634
3,2,2,18,0,869
3,2,2,18,0,792
3,2,2,18,0,714
3,2,3,5,1,803
3,2,3,5,1,606
3,2,3,5,1,729
3,2,3,5,1,572
3,2,3,5,1,654
3,2,3,5,1,561
3,2,3,5,1,572
3,2,3,5,1,675
3,2,3,5,1,549
3,2,3,5,1,608
3,2,3,5,1,511
3,2,3,5,1,475
3,2,3,5,1,524
3,2,3,5,1,416
3,2,3,5,1,488
3,2,3,5,1,450
3,2,3,5,1,390
3,2,3,5,1,348
3,2,3,5,1,352
3,2,3,5,1,326
3,2,3,5,1,268
3,2,3,5,1,240
3,2,3,5,1,216
3,2,3,5,1,234
4,1,3,5,1,183
4,1,3,5,1,158
4,1,3,5,1,241
4,1,3,5,1,226
4,1,3,5,1,136
4,1,3,5,1,182
4,1,3,5,1,160
4,1,3,5,1,130
4,1,3,5,1,133
4,1,3,5,1,205
4,1,3,5,1,144
4,1,3,5,1,136
4,1,3,5,1,126
4,1,3,5,1,90
4,1,3,5,1,114
4,1,3,5,1,114
4,1,3,5,1,83
4,1,3,5,1,105
4,1,3,5,1,87
4,1,3,5,1,112
4,1,3,5,1,66
4,1,3,5,1,109
4,1,3,5,1,113
4,1,3,5,1,78
4,2,4,10,1,170
4,2,4,10,1,185
4,2,4,10,1,191
4,2,4,10,1,265
4,2,4,10,1,301
4,2,4,10,1,317
4,2,4,10,1,339
4,2,4,10,1,429
4,2,4,10,1,368
4,2,4,10,1,411
4,2,4,10,1,420
4,2,4,10,1,395
4,2,4,10,1,502
4,2,4,10,1,400
4,2,4,10,1,451
4,2,4,10,1,563
4,2,4,10,1,421
4,2,4,10,1,485
4,2,4,10,1,432
4,2,4,10,1,439
4,2,4,10,1,502
4,2,4,10,1,434
4,2,4,10,1,366
4,2,4,10,1,349
4,2,4,10,1,453
4,2,4,10,1,458
4,2,4,10,1,388
4,2,4,10,1,400
4,2,4,10,1,417
